timestamp,attack_present,attack_tactic,network_only_score,provenance_only_score,late_fusion_score
1701561600.0,False,normal,1.525065306385888e-05,0.9999068448295665,2.4681381342087817e-05
1701561660.0,False,normal,5.514053371835787e-06,2.9685406532470374e-05,9.395696777757514e-06
1701561720.0,False,normal,2.6605663631287103e-05,2.0884961337810493e-05,3.177855487335258e-05
1701561780.0,False,normal,7.315271837459973e-06,0.0005077935805808397,1.0686557275802241e-05
1701561840.0,False,normal,0.0002733343095842261,0.3074274047225576,0.053136300598436756
1701561900.0,False,normal,6.621604826553253e-06,0.3074274047225576,7.504984279063987e-06
1701561960.0,False,normal,2.6092373653404276e-05,0.3074274047225576,2.5702567057143777e-05
1701562020.0,False,normal,6.338820992458773e-06,2.0884961337810493e-05,1.068657079163064e-05
1701562080.0,False,normal,2.0483754944068357e-05,0.3074274047225576,1.5959892202389718e-05
1701562140.0,False,normal,5.766934240355615e-05,0.0005077935805808397,4.2814441045144146e-05
1701562200.0,False,normal,3.1273896520642246e-05,0.0005077935805808397,4.009544545489106e-05
1701562260.0,False,normal,1.4761466798908934e-05,0.0005077935805808397,6.834689419539945e-06
1701562320.0,False,normal,2.1907634291866774e-05,2.0884961337810493e-05,1.67670915335275e-05
1701562380.0,False,normal,5.760036981423417e-06,0.735931043168581,1.274978069087541e-05
1701562440.0,False,normal,1.9782488988678214e-05,0.3074274047225576,1.7017827994620627e-05
1701562500.0,False,normal,1.4495799300954721e-05,0.3074274047225576,1.227568584971007e-05
1701562560.0,False,normal,7.889315422297551e-06,0.0009076709543987719,9.977356476638694e-06
1701562620.0,False,normal,0.0002178950138554126,0.01128931763995575,0.0003597347115429684
1701562680.0,False,normal,8.419922427255725e-06,0.3074274047225576,8.126297508407571e-06
1701562740.0,False,normal,1.8226289460451957e-05,0.3074274047225576,1.4417598137976832e-05
1701562800.0,False,normal,1.8961043751421665e-05,0.3074274047225576,1.7919199264880525e-05
1701562860.0,False,normal,0.0001146170066543129,0.0005077935805808397,0.00021270013918905388
1701562920.0,False,normal,7.0326137701172895e-06,2.0884961337810493e-05,1.02434214395021e-05
1701562980.0,False,normal,6.1178277236927e-06,0.3074274047225576,7.389127244354251e-06
1701563040.0,False,normal,0.002394233872412058,0.0005077935805808397,0.26048371215286364
1701563100.0,False,normal,1.7028766368708867e-05,0.0005077935805808397,7.368010789666222e-06
1701563160.0,False,normal,1.0709911048762625e-05,0.3074274047225576,1.0395005284560973e-05
1701563220.0,False,normal,0.006986607713767153,2.0884961337810493e-05,0.0004975460424447026
