timestamp,true_tactic,predicted_tactic,correct,confidence,uncertainty
1701561600.0,normal,normal,True,0.9999998453726203,1.5462737967819606e-07
1701561660.0,normal,normal,True,0.9999996581169089,3.4188309105953607e-07
1701561720.0,normal,normal,True,0.999984853250594,1.5146749405947624e-05
1701561780.0,normal,normal,True,0.9999963967544585,3.603245541494715e-06
1701561840.0,normal,normal,True,0.9814630950827644,0.018536904917235586
1701561900.0,normal,normal,True,0.9999997524555728,2.475444271787808e-07
1701561960.0,normal,normal,True,0.9999934472560574,6.5527439425672185e-06
1701562020.0,normal,normal,True,0.9999953578549949,4.642145005062659e-06
1701562080.0,normal,normal,True,0.9999993164769454,6.835230546009541e-07
1701562140.0,normal,normal,True,0.9964291013272212,0.0035708986727788217
1701562200.0,normal,normal,True,0.999751904726355,0.0002480952736449993
1701562260.0,normal,normal,True,0.9999748890317554,2.511096824464598e-05
1701562320.0,normal,normal,True,0.9999798266377925,2.0173362207498435e-05
1701562380.0,normal,normal,True,0.9999978542897054,2.1457102945543483e-06
1701562440.0,normal,normal,True,0.9994608473597878,0.0005391526402122038
1701562500.0,normal,normal,True,0.9999989394574361,1.0605425638798849e-06
1701562560.0,normal,normal,True,0.9999985110868301,1.48891316986699e-06
1701562620.0,normal,normal,True,0.9998859830297363,0.00011401697026369728
1701562680.0,normal,normal,True,0.9998759765681196,0.00012402343188044895
1701562740.0,normal,normal,True,0.9999626248779153,3.7375122084681855e-05
1701562800.0,normal,normal,True,0.9999704599506055,2.954004939448307e-05
1701562860.0,normal,normal,True,0.8147348631567095,0.1852651368432905
1701562920.0,normal,normal,True,0.9999894970179852,1.0502982014770623e-05
1701562980.0,normal,normal,True,0.9999975669814484,2.433018551628585e-06
1701563040.0,normal,normal,True,0.9976046916922082,0.002395308307791777
1701563100.0,normal,normal,True,0.9999972203274726,2.779672527375432e-06
1701563160.0,normal,normal,True,0.9999937565189647,6.243481035284049e-06
1701563220.0,normal,normal,True,0.5057434096303906,0.49425659036960945
1701563280.0,normal,normal,True,0.9362404235803707,0.06375957641962926
1701563340.0,normal,normal,True,0.9999991675963594,8.324036405715773e-07
